sweep,dataset,arm,budget,n,em,em_ci_lo,em_ci_hi,f1,faithfulness,label
primary,ms_marco,naive_topk_dedup,2000,75,0.0267,0.0,0.0667,0.2858,0.9333,exploratory (underpowered slice)
primary,ms_marco,naive_topk_dedup,4000,75,0.04,0.0,0.0933,0.2941,0.9267,exploratory (underpowered slice)
primary,ms_marco,rerank_topk,500,75,0.04,0.0,0.0933,0.2768,0.9667,exploratory (underpowered slice)
primary,ms_marco,rerank_topk,1000,75,0.04,0.0,0.0933,0.3039,0.9667,exploratory (underpowered slice)
primary,ms_marco,rerank_topk,2000,75,0.0533,0.0133,0.1067,0.307,0.9533,exploratory (underpowered slice)
primary,ms_marco,rerank_topk,4000,75,0.04,0.0,0.0933,0.3127,0.9467,exploratory (underpowered slice)
primary,ms_marco,summarize_recomp,500,75,0.0267,0.0,0.0667,0.239,0.9667,exploratory (underpowered slice)
primary,ms_marco,summarize_recomp,1000,75,0.0267,0.0,0.0667,0.2323,0.9867,exploratory (underpowered slice)
primary,ms_marco,summarize_recomp,2000,75,0.0267,0.0,0.0667,0.2536,0.96,exploratory (underpowered slice)
primary,ms_marco,summarize_recomp,4000,75,0.04,0.0,0.0933,0.2787,0.9733,exploratory (underpowered slice)
primary,multihop_rag,compress_llmlingua,500,150,0.5667,0.4867,0.6467,0.6002,0.3593,exploratory (underpowered slice)
primary,multihop_rag,compress_llmlingua,1000,150,0.6467,0.5667,0.72,0.6742,0.4827,exploratory (underpowered slice)
primary,multihop_rag,compress_llmlingua,2000,150,0.7067,0.6333,0.78,0.731,0.6267,exploratory (underpowered slice)
primary,multihop_rag,compress_llmlingua,4000,150,0.7533,0.68,0.82,0.771,0.694,exploratory (underpowered slice)
primary,multihop_rag,graph_select,500,150,0.6067,0.5267,0.68,0.6202,0.4547,exploratory (underpowered slice)
primary,multihop_rag,graph_select,1000,150,0.6667,0.5867,0.74,0.6823,0.544,exploratory (underpowered slice)
primary,multihop_rag,graph_select,2000,150,0.7133,0.64,0.7867,0.7262,0.6,exploratory (underpowered slice)
primary,multihop_rag,graph_select,4000,150,0.7267,0.6533,0.8,0.7372,0.63,exploratory (underpowered slice)
primary,multihop_rag,naive_topk,500,150,0.74,0.6667,0.8067,0.7546,0.722,exploratory (underpowered slice)
primary,multihop_rag,naive_topk,1000,150,0.8,0.7333,0.8667,0.8192,0.7607,exploratory (underpowered slice)
primary,multihop_rag,naive_topk,2000,150,0.8,0.7333,0.86,0.8183,0.802,exploratory (underpowered slice)
primary,multihop_rag,naive_topk,4000,150,0.8133,0.7467,0.8733,0.8235,0.806,exploratory (underpowered slice)
primary,multihop_rag,naive_topk_dedup,500,150,0.74,0.6667,0.8067,0.7546,0.7153,exploratory (underpowered slice)
primary,multihop_rag,naive_topk_dedup,1000,150,0.8,0.7333,0.86,0.8192,0.7607,exploratory (underpowered slice)
primary,multihop_rag,naive_topk_dedup,2000,150,0.8,0.7333,0.86,0.8183,0.802,exploratory (underpowered slice)
primary,multihop_rag,naive_topk_dedup,4000,150,0.8133,0.7533,0.8733,0.8235,0.806,exploratory (underpowered slice)
primary,multihop_rag,rerank_topk,500,150,0.8067,0.74,0.8667,0.8247,0.7773,exploratory (underpowered slice)
primary,multihop_rag,rerank_topk,1000,150,0.8067,0.74,0.8667,0.8365,0.8687,exploratory (underpowered slice)
primary,multihop_rag,rerank_topk,2000,150,0.84,0.78,0.8935,0.8481,0.842,exploratory (underpowered slice)
primary,multihop_rag,rerank_topk,4000,150,0.8267,0.76,0.8867,0.8403,0.872,exploratory (underpowered slice)
primary,multihop_rag,summarize_recomp,500,150,0.7333,0.66,0.8,0.7731,0.952,exploratory (underpowered slice)
primary,multihop_rag,summarize_recomp,1000,150,0.7533,0.68,0.82,0.8111,0.9867,exploratory (underpowered slice)
primary,multihop_rag,summarize_recomp,2000,150,0.7867,0.72,0.8467,0.835,0.984,exploratory (underpowered slice)
primary,multihop_rag,summarize_recomp,4000,150,0.7933,0.7267,0.8533,0.8456,0.9667,exploratory (underpowered slice)
primary,nq_open_gold,compress_llmlingua,500,75,0.2133,0.12,0.3067,0.3399,0.2667,exploratory (underpowered slice)
primary,nq_open_gold,compress_llmlingua,1000,75,0.2667,0.1733,0.3733,0.3636,0.3,exploratory (underpowered slice)
primary,nq_open_gold,compress_llmlingua,2000,75,0.2933,0.2,0.4,0.4392,0.42,exploratory (underpowered slice)
primary,nq_open_gold,compress_llmlingua,4000,75,0.4133,0.3067,0.52,0.5681,0.6533,exploratory (underpowered slice)
primary,nq_open_gold,graph_select,500,75,0.2,0.1067,0.2933,0.3361,0.2933,exploratory (underpowered slice)
primary,nq_open_gold,graph_select,1000,75,0.2267,0.1333,0.32,0.3598,0.28,exploratory (underpowered slice)
primary,nq_open_gold,graph_select,2000,75,0.2667,0.1733,0.3733,0.3982,0.24,exploratory (underpowered slice)
primary,nq_open_gold,graph_select,4000,75,0.2667,0.1733,0.3733,0.4247,0.2373,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk,500,75,0.5733,0.4533,0.68,0.6854,0.8333,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk,1000,75,0.56,0.4533,0.6667,0.6848,0.8533,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk,2000,75,0.5733,0.4667,0.68,0.6996,0.8467,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk,4000,75,0.5733,0.4667,0.68,0.708,0.8333,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk_dedup,500,75,0.5733,0.4667,0.68,0.6854,0.8333,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk_dedup,1000,75,0.56,0.4533,0.6667,0.6883,0.8533,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk_dedup,2000,75,0.5733,0.4667,0.68,0.7032,0.8467,exploratory (underpowered slice)
primary,nq_open_gold,naive_topk_dedup,4000,75,0.5733,0.4667,0.68,0.708,0.8333,exploratory (underpowered slice)
primary,nq_open_gold,rerank_topk,500,75,0.5733,0.4533,0.68,0.7096,0.9,exploratory (underpowered slice)
primary,nq_open_gold,rerank_topk,1000,75,0.5733,0.4667,0.68,0.7178,0.8667,exploratory (underpowered slice)
primary,nq_open_gold,rerank_topk,2000,75,0.5867,0.48,0.6933,0.7315,0.84,exploratory (underpowered slice)
primary,nq_open_gold,rerank_topk,4000,75,0.5733,0.4667,0.68,0.7011,0.82,exploratory (underpowered slice)
primary,nq_open_gold,summarize_recomp,500,75,0.3867,0.28,0.4933,0.5013,0.8933,exploratory (underpowered slice)
primary,nq_open_gold,summarize_recomp,1000,75,0.3867,0.28,0.4933,0.5191,0.92,exploratory (underpowered slice)
primary,nq_open_gold,summarize_recomp,2000,75,0.4933,0.3867,0.6,0.6134,0.94,exploratory (underpowered slice)
primary,nq_open_gold,summarize_recomp,4000,75,0.5067,0.4,0.6133,0.6506,0.9533,exploratory (underpowered slice)
primary,squad_v2,compress_llmlingua,500,75,0.1333,0.0667,0.2133,0.2111,0.2133,exploratory (underpowered slice)
primary,squad_v2,compress_llmlingua,1000,75,0.12,0.0533,0.2,0.2251,0.3267,exploratory (underpowered slice)
primary,squad_v2,compress_llmlingua,2000,75,0.16,0.08,0.24,0.3074,0.548,exploratory (underpowered slice)
primary,squad_v2,compress_llmlingua,4000,75,0.3333,0.2267,0.44,0.4865,0.828,exploratory (underpowered slice)
primary,squad_v2,graph_select,500,75,0.2133,0.12,0.3067,0.3186,0.5733,exploratory (underpowered slice)
primary,squad_v2,graph_select,1000,75,0.2933,0.1867,0.4,0.3802,0.6,exploratory (underpowered slice)
primary,squad_v2,graph_select,2000,75,0.3467,0.24,0.4533,0.4389,0.5,exploratory (underpowered slice)
primary,squad_v2,graph_select,4000,75,0.3467,0.24,0.4533,0.4578,0.4667,exploratory (underpowered slice)
primary,squad_v2,naive_topk,500,75,0.68,0.5733,0.7867,0.8076,0.9533,exploratory (underpowered slice)
primary,squad_v2,naive_topk,1000,75,0.6667,0.56,0.7733,0.792,0.9267,exploratory (underpowered slice)
primary,squad_v2,naive_topk,2000,75,0.6533,0.5467,0.76,0.7951,0.96,exploratory (underpowered slice)
primary,squad_v2,naive_topk,4000,75,0.68,0.5733,0.7867,0.8238,0.9467,exploratory (underpowered slice)
primary,squad_v2,naive_topk_dedup,500,75,0.68,0.5733,0.7867,0.8076,0.9533,exploratory (underpowered slice)
primary,squad_v2,naive_topk_dedup,1000,75,0.6667,0.56,0.7733,0.792,0.9267,exploratory (underpowered slice)
primary,squad_v2,naive_topk_dedup,2000,75,0.6533,0.5467,0.76,0.7951,0.96,exploratory (underpowered slice)
primary,squad_v2,naive_topk_dedup,4000,75,0.68,0.5733,0.7867,0.8238,0.9467,exploratory (underpowered slice)
primary,squad_v2,rerank_topk,500,75,0.7333,0.6267,0.8267,0.8712,0.98,exploratory (underpowered slice)
primary,squad_v2,rerank_topk,1000,75,0.7067,0.6,0.8133,0.828,0.96,exploratory (underpowered slice)
primary,squad_v2,rerank_topk,2000,75,0.6667,0.56,0.7733,0.8076,0.96,exploratory (underpowered slice)
primary,squad_v2,rerank_topk,4000,75,0.6533,0.5467,0.76,0.7988,0.98,exploratory (underpowered slice)
primary,squad_v2,summarize_recomp,500,75,0.4267,0.32,0.5333,0.6189,1.0,exploratory (underpowered slice)
primary,squad_v2,summarize_recomp,1000,75,0.5733,0.4667,0.68,0.7288,0.9933,exploratory (underpowered slice)
primary,squad_v2,summarize_recomp,2000,75,0.5733,0.4667,0.68,0.7692,1.0,exploratory (underpowered slice)
primary,squad_v2,summarize_recomp,4000,75,0.6267,0.52,0.7333,0.7825,1.0,exploratory (underpowered slice)
sensitivity_h1,hotpotqa,graph_select_h1,1000,150,0.36,0.2867,0.4333,0.461,0.5133,exploratory (underpowered slice)
sensitivity_h1,liverag,graph_select_h1,1000,75,0.0,0.0,0.0,0.217,0.588,exploratory (underpowered slice)
sensitivity_h1,ms_marco,graph_select_h1,1000,75,0.0,0.0,0.0,0.1749,0.5333,exploratory (underpowered slice)
sensitivity_h1,multihop_rag,graph_select_h1,1000,150,0.6733,0.5933,0.7467,0.697,0.5513,exploratory (underpowered slice)
sensitivity_h1,nq_open_gold,graph_select_h1,1000,75,0.2533,0.16,0.3467,0.367,0.28,exploratory (underpowered slice)
sensitivity_h1,squad_v2,graph_select_h1,1000,75,0.32,0.2133,0.4267,0.4105,0.58,exploratory (underpowered slice)
structured,wikitablequestions,compress_llmlingua,500,600,0.0683,0.0483,0.0883,0.0884,0.3595,exploratory (underpowered slice)
structured,wikitablequestions,compress_llmlingua,1000,600,0.0783,0.0567,0.1,0.105,0.3993,exploratory (underpowered slice)
structured,wikitablequestions,compress_llmlingua,2000,600,0.09,0.0683,0.1133,0.1169,0.34,exploratory (underpowered slice)
structured,wikitablequestions,compress_llmlingua,4000,600,0.1167,0.0917,0.1433,0.1469,0.378,exploratory (underpowered slice)
structured,wikitablequestions,graph_select,500,600,0.0667,0.0483,0.0867,0.0943,0.5487,exploratory (underpowered slice)
structured,wikitablequestions,graph_select,1000,600,0.0833,0.0617,0.105,0.1076,0.5167,exploratory (underpowered slice)
structured,wikitablequestions,graph_select,2000,600,0.0883,0.0667,0.1117,0.1138,0.4278,exploratory (underpowered slice)
structured,wikitablequestions,graph_select,4000,600,0.1033,0.08,0.1283,0.1275,0.3855,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk,500,600,0.1717,0.1417,0.2033,0.2063,0.5722,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk,1000,600,0.1733,0.1433,0.205,0.2163,0.5475,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk,2000,600,0.175,0.145,0.205,0.2143,0.4997,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk,4000,600,0.1733,0.1433,0.205,0.2132,0.4622,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk_dedup,500,600,0.1717,0.1417,0.2033,0.2063,0.5705,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk_dedup,1000,600,0.1733,0.1433,0.2033,0.2163,0.5475,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk_dedup,2000,600,0.175,0.145,0.2067,0.2143,0.4963,exploratory (underpowered slice)
structured,wikitablequestions,naive_topk_dedup,4000,600,0.1733,0.1433,0.2033,0.2132,0.4655,exploratory (underpowered slice)
structured,wikitablequestions,rerank_topk,500,600,0.2033,0.1717,0.2367,0.2538,0.6235,exploratory (underpowered slice)
structured,wikitablequestions,rerank_topk,1000,600,0.1983,0.1667,0.23,0.2393,0.6065,exploratory (underpowered slice)
structured,wikitablequestions,rerank_topk,2000,600,0.1967,0.165,0.23,0.2368,0.5838,exploratory (underpowered slice)
structured,wikitablequestions,rerank_topk,4000,600,0.2017,0.17,0.2333,0.2475,0.5492,exploratory (underpowered slice)
structured,wikitablequestions,summarize_recomp,500,600,0.0717,0.0517,0.0933,0.094,0.804,exploratory (underpowered slice)
structured,wikitablequestions,summarize_recomp,1000,600,0.1217,0.0967,0.1483,0.1479,0.8626,exploratory (underpowered slice)
structured,wikitablequestions,summarize_recomp,2000,600,0.15,0.1217,0.18,0.1849,0.8763,exploratory (underpowered slice)
structured,wikitablequestions,summarize_recomp,4000,600,0.1917,0.16,0.2233,0.2373,0.8923,exploratory (underpowered slice)
