chunk_id,passage_id,dataset,title,text,n_tokens,content_type,is_gold
p000001_c1,p000001,hotpotqa,Greensky Bluegrass," fact that what Greensky does is “not quite” bluegrass. These depths have been plumbed. In fact, in their own promotional material, GSBG describes their sound as “their own version of bluegrass music, mixing the acoustic stomp of a stringband with the rule-breaking spirit of rock & roll.” Greensky Bluegrass is known for their improvisation, multiple set shows, and open audience recording policy (akin to Phish and The Grateful Dead) and have broken through to a multi genre fanbase covering songs from Bruce Springsteen, Aerosmith, John Hartford, Dawes, Phish, The Grateful",128,prose,False
p000001_c2,p000001,hotpotqa,Greensky Bluegrass," and have broken through to a multi genre fanbase covering songs from Bruce Springsteen, Aerosmith, John Hartford, Dawes, Phish, The Grateful Dead, Rolling Stones, Prince and more.",41,prose,False
p000002_c0,p000002,hotpotqa,Fascination (album),"Fascination is the fourth studio album released by the progressive bluegrass band, The Greencards. It was their first album released on the Sugar Hill Records label. Released on April 21, 2009, it draws inspiration from bluegrass, rock, and blues. The album was described by member Carol Young as their own kind of sound, resulting from several years touring together. The track, ""The Crystal Merchant"", was nominated for the Grammy Award for Best Country Instrumental Performance.",102,prose,False
p000003_c0,p000003,hotpotqa,Maxida Märak,"Ida Amanda ""Maxida"" Märak (born 17 September 1988) is a Swedish-sami jojk-singer, hiphop musician, actress and activist. Märak is a human rights activist with a special interest in the rights of the Sami people. She has taken part in protests against the mine building in Kallak. In 2014 she recorded the album ""Mountain Songs and other Stories"" along with the bluegrass band Downhill Bluegrass band.",104,prose,False
p000004_c0,p000004,hotpotqa,Bell's Brewery,"Bell's Brewery, Inc. is a brewing company based in Kalamazoo, Michigan, with a second brewery in Comstock, Michigan. Bell's Brewery produces the Bell's brand of beers. Bell's also has a brewpub called the Eccentric Cafe.",53,prose,True
p000005_c0,p000005,hotpotqa,Live at Bell's,"Live At Bell's is the third release from the winners of the 2006 Telluride Bluegrass Festival Band Competition, Greensky Bluegrass. Recorded in the summer of 2007 at their home base of Bell's Brewery, this album is the first",56,prose,True
p000006_c0,p000006,hotpotqa,Bluegrass Cardinals,"The Bluegrass Cardinals were a Bluegrass band from Los Angeles, California. The group is credited with being the first bluegrass band to record bluegrass gospel in a cappella. Founded in 1974, the Bluegrass Cardinals disbanded in 1997 when founding member Don Parmley announced his retirement from music.",69,prose,False
p000007_c0,p000007,hotpotqa,Weather and Water,"Weather and Water is a 2005 studio album by the Austin, Texas progressive bluegrass band The Greencards. Their second Dualtone album release of 2005, after their debut 2003 album ""Movin' On"" was re-released earlier in the year by their label Dualtone Records, ""Weather and Water"" was released on June 28. In a review of ""Weather and Water"" in ""The Washington Post"", it was noted that on this album, unlike their debut, the focus was on the music supporting lyrics, rather than the blues virtuosity of ""Mov",128,prose,False
p000007_c1,p000007,hotpotqa,Weather and Water,""", it was noted that on this album, unlike their debut, the focus was on the music supporting lyrics, rather than the blues virtuosity of ""Movin' On"". In another review, Jim Abbott of the ""Tribune News Service"" described The Greencards as polished, ""earthy, charming roots music with a sophisticated sheen"", but noted that some bluegrass purists may miss the vocal idiosyncrasies that can be found on other bluegrass bands such as the Del McCoury Band. All three members of the band sing on ""Weather and Water"", but Young's voice was noted for its",128,prose,False
p000007_c2,p000007,hotpotqa,Weather and Water,"grass bands such as the Del McCoury Band. All three members of the band sing on ""Weather and Water"", but Young's voice was noted for its ""dreamy, haunting quality"". Their music through the ""Weather and Water"" album had been called Celtic-influenced and bluegrass-flavored, but noted that the band had a distinctly American sound despite their overseas origins.",77,prose,False
